INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
443142,21640,1042.4488476659178,38049.620253164554,1765.8798682856504,35832,2257.75,4e4,36e3,0,0,0
44413,6295,474.85355637290957,27728.571428571435,2099.5939844541135,23672.275000000005,2133.7440823050083,4e4,36e3,0,0,0
4441Z,26309,1057.6479329152967,27993.48936170213,1140.5,25438,968.25,4e4,36e3,0,0,0
4442,3564,333.5993105508463,34117.38888888889,3800.3515732485102,29508,3606.082659623522,4e4,36e3,0,0,0
4451,79489,1769.023021331266,18200,610.2767954929805,16018,434.25,4e4,36e3,0,0,0
4452,6431,486.94245039840183,20023,2138.792525789905,17936.4,2104.164809689041,4e4,36e3,0,0,0
4453,4947,533.0807162147211,24023.682242990653,2360.830107065659,22687.457446808512,2710.752655641354,4e4,36e3,0,0,0
44611,36099,874.5317032560913,31e3,1328.5510532957287,30035,1279.6740635101423,4e4,36e3,0,0,0
446Z,12620,786.9769374003282,30526,1727.1890538395637,28455,1637,4e4,36e3,0,0,0
447,12094,794.0580583307495,18509.333333333336,976.6924549950236,17777.636363636368,1068.0369069365897,4e4,36e3,0,0,0
4481,34159,1213.381597025437,15196.605263157893,879.25,13e3,854.9882836117058,4e4,36e3,0,0,0
44821,6463,555.7775634190355,10839.124999999998,1759.624536977351,10060.382352941177,1820.3261112479863,4e4,36e3,0,0,0
4483,6518,521.6161423882509,29316.5,1447.9601719184593,24892.137931034482,1075.0505064484305,4e4,36e3,0,0,0
45113,1724,227.7265904544307,23588.916666666668,3494.85791153477,11563.550000000001,3307.0850620155593,4e4,36e3,0,0,0
45114,1179,213.86187130949733,23751.492424242424,3377.2711117999925,23093.402173913044,3135.609142232006,4e4,36e3,0,0,0
4511M,11898,570.7361912477603,19018.30769230769,1285.5401106621016,15263,1069.629936783219,4e4,36e3,0,0,0
45121,3924,367.49993197278286,22242.5625,2132.684611273129,20548.5,1961.233283131006,4e4,36e3,0,0,0
45211,67603,1595.4893293281532,18521,462.1944753986618,16517.083333333332,473.6907912221859,4e4,36e3,0,0,0
4529,12808,727.2171615136706,20860.81818181818,1498.8443777866569,20351,1171,4e4,36e3,0,0,0
4531,2996,355.83584698565716,22756.14285714286,1864.7180238086676,16456.727272727272,2167.578490512319,4e4,36e3,0,0,0
45321,6911,478.227090407894,41552.23333333334,2364.0439285264274,39094.752252252256,3132.0511305761984,4e4,36e3,0,1,1
45322,4668,430.71545131327713,17528.614457831325,2065.6973532168904,12388,2126.7495676771227,4e4,36e3,0,0,0
4533,6060,503.782542373195,15772,1134.8667071767973,14e3,1100.6356475438188,4e4,36e3,0,0,0
4539,12820,640.4271230983272,22e3,1156.708936301452,18582,1158.069655301289,4e4,36e3,0,0,0
454111,5682,414.93017484873286,44273.09090909091,3877.422279977607,40555.444444444445,4264.640554311181,4e4,36e3,0,1,1
454112,375,102.32228496275873,13398.934782608696,5555.416367060201,204.0833333333335,3228.9302974574184,4e4,36e3,0,0,0
454113,4209,375.2347265379365,43109.260869565216,2836.182984254765,42060.346153846156,3501.1357211215272,4e4,36e3,0,1,1
4542,1552,274.2431402970729,40097.5625,4957.940621904654,35e3,6400.190499169951,4e4,36e3,0,1,0
454310,1049,216.46061997508923,48145.22222222222,7103.8517309193785,48145.22222222222,7353.576545914339,4e4,36e3,0,1,1
45439,4784,369.00115175972013,25569.25,2670.9132264992622,19919.886792452828,4255.641330410361,4e4,36e3,0,0,0
481,26840,1096.0547887765465,5e4,1091.4546992732357,49956.61538461538,1159.6782523438178,4e4,36e3,0,1,1
482,15866,857.1732321998862,62e3,1300.25,60069,1558,4e4,36e3,0,1,1
483,906,157.0600203743779,42077.869565217385,6151.775202807155,42077.869565217385,6099.664091696046,4e4,36e3,0,1,1
484,64045,1942.9744980313046,42155,1043.7771162091558,40701,323.25,4e4,36e3,0,1,1
4853,13832,803.4560037736976,25341.333333333332,848.803985859251,2e4,1514.1176572245163,4e4,36e3,0,0,0
485M,24570,961.7045024330499,35961.82352941176,2011.1499562081453,30969,1678.7272169211528,4e4,36e3,0,0,0
486,910,191.25035947678634,85511.66666666667,8727.0837988014,82585,7135.792809296034,4e4,36e3,0,1,1
487,770,139.91568889870786,38368.769230769234,12593.97442815039,2e4,9065.410052854897,4e4,36e3,0,0,0
488,32363,1179.9333455750796,41101,1487.810789417652,40047,1194.956904231085,4e4,36e3,0,1,1
491,22856,834.7691597082394,55692.07692307692,500.5300897774705,54801,374.27270059754665,4e4,36e3,0,1,1
492,26820,1170.7017340040118,31602.909090909092,1260,3e4,1429.6368543506123,4e4,36e3,0,0,0
493,15294,821.2402815254499,29744.53846153846,890.5,28905,1008.75,4e4,36e3,0,0,0
4MS,18713,979.7055169794646,26623.320000000007,2409.11283543435,23810.819444444445,2503,4e4,36e3,0,0,0
51111,7939,487.72620393003285,34517.117647058825,2137.095031669488,32079.25806451613,2242.6517187943555,4e4,36e3,0,0,0
5111Z,12304,677.1884892701588,52648,2791.674740564038,49843.41176470588,2383.601004542299,4e4,36e3,0,1,1
5112,2565,303.68956188845215,90008.44827586207,10132.68527676988,9e4,10144.253527906396,4e4,36e3,0,1,1
5121,9816,612.2774697798377,28866.58333333335,3936.1143138767657,20483.241379310344,3235.7538282519163,4e4,36e3,0,0,0
5122,864,159.33282775373064,34260,6711.350374556047,22558.11111111111,6828.328785601999,4e4,36e3,0,0,0
515,15247,737.7148500606451,50583,2220.2126740043313,48055,1913.8296478537268,4e4,36e3,0,1,1
5171,18863,937.3643368509387,68502,1815.5,67929.75,1996.393931141998,4e4,36e3,0,1,1
517Z,11678,646.739244208978,69556,2851.4576676504967,68991.55932203389,2136.093329733052,4e4,36e3,0,1,1
5182,4153,349.865759970878,60069,4450.472090002466,59069.00000000001,4298.128343356435,4e4,36e3,0,1,1
51912,12287,546.4643172248303,23823.312500000007,2221.7806020423623,19097.083333333332,1390.3467199329734,4e4,36e3,0,0,0
51913,2688,255.5725924272789,52917.5,6217.540878935253,52770.59459459459,6088.276486872723,4e4,36e3,0,1,1
5191ZM,1346,177.40053551215678,59573.07692307692,13856.588399054956,53473.916666666664,13375.217510786813,4e4,36e3,0,1,1
5221M,4516,388.45321468614463,41216.2,2636.5923897163466,40701,2290.03477573455,4e4,36e3,0,1,1
